,Title,Author,Published,Link
0,Delay estimation between EEG and EMG via coherence with time lag,"Xu, Y.",19 May 2016,https://pureportal.coventry.ac.uk/en/publications/delay-estimation-between-eeg-and-emg-via-coherence-with-time-lag
1,Corticomuscular Coherence With Time Lag With Application to Delay Estimation,"Xu, Y.",Mar 2017,https://pureportal.coventry.ac.uk/en/publications/corticomuscular-coherence-with-time-lag-with-application-to-delay
2,Cortico-muscular coherence enhancement via coherent Wavelet enhanced Independent Component Analysis,"Xu, Y.",14 Sept 2017,https://pureportal.coventry.ac.uk/en/publications/cortico-muscular-coherence-enhancement-via-coherent-wavelet-enhan
3,Cortico-Muscular Coherence Enhancement Via Sparse Signal Representation,"Xu, Y.",13 Sept 2018,https://pureportal.coventry.ac.uk/en/publications/cortico-muscular-coherence-enhancement-via-sparse-signal-represen
4,Significance of considering respiratory movement in estimating sleep stage,"Liu, H.",18 Mar 2020,https://pureportal.coventry.ac.uk/en/publications/significance-of-considering-respiratory-movement-in-estimating-sl
5,Effect of microcirculatory resistance on coronary blood flow and instantaneous wave-free ratio: A computational study,"Liu, H.",1 Nov 2020,https://pureportal.coventry.ac.uk/en/publications/effect-of-microcirculatory-resistance-on-coronary-blood-flow-and-
6,Dataset on Blood Flow and Instantaneous Wave-free Ratio in Normal and Stenosed Coronary Arteries,"Liu, H.",Oct 2020,https://pureportal.coventry.ac.uk/en/publications/dataset-on-blood-flow-and-instantaneous-wave-free-ratio-in-normal
7,Analysis of Electrohysterographic Signal Propagation Direction during Uterine Contraction: the Application of Directed Information,"Xu, Y.",27 Aug 2020,https://pureportal.coventry.ac.uk/en/publications/analysis-of-electrohysterographic-signal-propagation-direction-du
8,Evaluation of cuff deflation and inflation rates on a deep learning-based automatic blood pressure measurement method: a pilot evaluation study,"Xu, Y.",1 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-cuff-deflation-and-inflation-rates-on-a-deep-learni
9,Development and validation of a deep learning-based automatic auscultatory blood pressure measurement method,"Xu, Y.",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-a-deep-learning-based-automatic-aus
10,Automatic recognition of uterine contractions with electrohysterogram signals based on the zero-crossing rate,"Xu, Y.",21 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/automatic-recognition-of-uterine-contractions-with-electrohystero
11,Uterus Modeling from Cell to Organ Level: towards Better Understanding of Physiological Basis of Uterine Activity,"Xu, Y.",2022,https://pureportal.coventry.ac.uk/en/publications/uterus-modeling-from-cell-to-organ-level-towards-better-understan
